F1_S1,F2_S1,F1_S2,F2_S2,DecayRatioCycle,LPC_Coefficient1,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,Class
0.011719,0.0058594,0.015625,0,0.0064446,0.11403,-0.28193,-0.1986,0.28695,-0.0013391,0.15816,-0.022702,0.033643,-0.097801,-0.031669,0.21393,0.059833,0.10804,-0.064784,0.12102,abnormal
0.0058594,0.015625,0.019531,0.046875,0.030413,-0.36727,0.12774,0.14711,0.16961,0.082019,0.16423,-0.019672,0.16446,0.0034317,0.032452,0.086136,0.023775,0.0074968,0.044185,0.0042269,abnormal
0.011719,0.0078125,0.0078125,0.011719,0.0039878,-0.031007,-0.03347,-0.014402,0.15458,-0.0048314,0.12458,0.22508,0.074129,0.10248,-0.018207,0.075222,0.0079093,0.088969,0.041072,0.042693,abnormal
0.011719,0.0078125,0.011719,0.046875,0.0025284,-0.3641,0.019345,-0.092349,0.32134,-0.092407,0.13847,0.10702,0.14155,-0.11469,0.23258,-0.11746,0.18773,-0.1187,0.14203,0.0074872,abnormal
0.011719,0.011719,0.011719,0.023438,0.0065417,-0.26298,-0.043268,0.0035795,0.025035,0.046792,0.1336,0.11384,0.042316,0.026602,0.018169,0.025151,0.054218,0.033317,0.059227,0.043393,abnormal
0.017578,0.0078125,0.0078125,0.015625,0.70503,1.6204,2.4412,3.1585,3.8817,4.3197,4.5281,4.4848,4.1741,3.6335,2.9739,2.2345,1.5358,0.95784,0.49049,0.18827,abnormal
0.0078125,0.0078125,0.015625,0.0078125,0.004398,-0.78898,0.078382,0.28777,-0.17076,0.13345,0.007355,0.098387,0.098286,-0.037506,0.016121,-0.025372,0.13062,-0.11286,0.070892,0.02574,normal
0.0078125,0.0078125,0.0078125,0.0078125,0.48564,2.2742,3.7223,4.7353,5.3256,5.4522,5.3085,4.9236,4.427,3.8045,3.1271,2.4116,1.7458,1.1375,0.60089,0.18869,abnormal
0.013672,0.011719,0.0078125,0.046875,0.083906,0.64687,-0.027987,0.030349,0.11168,0.19205,0.19839,0.12288,0.11072,0.14987,0.11013,0.061906,0.070968,0.10869,0.02029,-0.048018,normal
0.011719,0.023438,0.011719,0.019531,0.039744,0.43558,-0.055175,0.095775,0.12898,-0.010666,0.15284,0.22092,0.15719,0.15876,0.034174,0.028201,0.03725,0.0067274,0.081506,0.024352,abnormal
0.0078125,0.054688,0.0039062,0.054688,0.0282,-0.43611,-0.040272,0.11314,0.17293,0.030464,0.13288,0.0032138,0.041761,-0.004022,0.057036,0.055174,0.036091,0.055567,0.025734,0.0074021,normal
0.011719,0.015625,0.013672,0.027344,0.02087,-0.49434,-0.16165,0.047299,0.13632,0.072487,0.0062954,-0.015562,0.034035,0.055745,0.072225,0.034152,-0.021215,0.0005141,-0.023523,0.014386,normal
0.0078125,0.0078125,0.0097656,0.023438,0.014974,0.2164,-0.14854,0.10026,0.097993,0.11031,0.099253,-0.035835,0.026772,0.11526,0.046447,0.096515,-0.047139,0.029164,-0.02251,0.0082484,abnormal
0.039062,0.015625,0.015625,0.023438,0.01956,-0.59312,0.29029,0.12361,0.15717,-0.10031,0.21078,0.11714,-0.058721,0.11995,-0.038212,0.010293,-0.011157,0.15746,-0.079553,-0.048964,abnormal
0.0078125,0.015625,0.017578,0.0078125,0.031698,0.31871,-0.45137,-0.136,0.23487,0.084744,0.084474,0.044865,0.14068,-0.0086518,0.14093,0.0063683,0.10107,-0.044686,-0.089348,0.021031,abnormal
0.0078125,0.023438,0.015625,0.019531,0.010836,-0.64195,-0.08115,-0.01935,0.12056,0.0054621,0.20786,-0.036433,0.10896,-0.068693,0.011802,-0.0098781,-0.0012219,0.063883,0.097633,-0.053505,normal
0.027344,0.0078125,0.03125,0.0078125,0.015036,-0.25011,-0.05914,-0.083931,0.097899,0.11226,0.071854,0.023485,0.048025,0.058429,0.051371,0.00040196,0.095982,0.040141,-0.037509,0.042333,abnormal
